Reply 1: Processed (raw) | Latency: 49.983 ms
Reply 2: Processed (raw) | Latency: 49.990 ms
Reply 3: Processed (raw) | Latency: 49.953 ms
Reply 4: Processed (raw) | Latency: 49.952 ms
Reply 5: Processed (raw) | Latency: 49.958 ms
Reply 6: Processed (raw) | Latency: 49.959 ms
Reply 7: Processed (raw) | Latency: 49.956 ms
Reply 8: Processed (raw) | Latency: 49.983 ms
Reply 9: Processed (raw) | Latency: 49.985 ms
Reply 10: Processed (raw) | Latency: 49.961 ms
Reply 11: Processed (raw) | Latency: 49.997 ms
Reply 12: Processed (raw) | Latency: 49.955 ms
Reply 13: Processed (raw) | Latency: 49.950 ms
Reply 14: Processed (raw) | Latency: 49.965 ms
Reply 15: Processed (raw) | Latency: 49.951 ms
Reply 16: Processed (raw) | Latency: 49.978 ms
Reply 17: Processed (raw) | Latency: 49.965 ms
Reply 18: Processed (raw) | Latency: 49.951 ms
Reply 19: Processed (raw) | Latency: 49.954 ms
Reply 20: Processed (raw) | Latency: 49.980 ms
Reply 21: Processed (raw) | Latency: 49.991 ms
Reply 22: Processed (raw) | Latency: 49.964 ms
Reply 23: Processed (raw) | Latency: 49.955 ms
Reply 24: Processed (raw) | Latency: 49.989 ms
Reply 25: Processed (raw) | Latency: 49.962 ms
Reply 26: Processed (raw) | Latency: 49.969 ms
Reply 27: Processed (raw) | Latency: 49.986 ms
Reply 28: Processed (raw) | Latency: 49.990 ms
Reply 29: Processed (raw) | Latency: 49.960 ms
Reply 30: Processed (raw) | Latency: 49.973 ms
Reply 31: Processed (raw) | Latency: 49.964 ms
Reply 32: Processed (raw) | Latency: 49.991 ms
Reply 33: Processed (raw) | Latency: 49.953 ms
Reply 34: Processed (raw) | Latency: 49.958 ms
Reply 35: Processed (raw) | Latency: 49.945 ms
Reply 36: Processed (raw) | Latency: 49.981 ms
Reply 37: Processed (raw) | Latency: 49.952 ms
Reply 38: Processed (raw) | Latency: 49.953 ms
Reply 39: Processed (raw) | Latency: 49.978 ms
Reply 40: Processed (raw) | Latency: 49.989 ms
Reply 41: Processed (raw) | Latency: 49.976 ms
Reply 42: Processed (raw) | Latency: 49.958 ms
Reply 43: Processed (raw) | Latency: 49.947 ms
Reply 44: Processed (raw) | Latency: 49.955 ms
Reply 45: Processed (raw) | Latency: 49.974 ms
Reply 46: Processed (raw) | Latency: 49.962 ms
Reply 47: Processed (raw) | Latency: 49.964 ms
Reply 48: Processed (raw) | Latency: 50.033 ms
Reply 49: Processed (raw) | Latency: 49.965 ms
Reply 50: Processed (raw) | Latency: 49.948 ms
Reply 51: Processed (raw) | Latency: 49.961 ms
Reply 52: Processed (raw) | Latency: 49.947 ms
Reply 53: Processed (raw) | Latency: 49.970 ms
Reply 54: Processed (raw) | Latency: 49.967 ms
Reply 55: Processed (raw) | Latency: 49.954 ms
Reply 56: Processed (raw) | Latency: 49.979 ms
Reply 57: Processed (raw) | Latency: 49.981 ms
Reply 58: Processed (raw) | Latency: 49.965 ms
Reply 59: Processed (raw) | Latency: 49.963 ms
Reply 60: Processed (raw) | Latency: 49.975 ms
Reply 61: Processed (raw) | Latency: 49.959 ms
Reply 62: Processed (raw) | Latency: 49.960 ms
Reply 63: Processed (raw) | Latency: 49.953 ms
Reply 64: Processed (raw) | Latency: 49.956 ms
Reply 65: Processed (raw) | Latency: 49.962 ms
Reply 66: Processed (raw) | Latency: 49.974 ms
Reply 67: Processed (raw) | Latency: 49.968 ms
Reply 68: Processed (raw) | Latency: 49.968 ms
Reply 69: Processed (raw) | Latency: 49.957 ms
Reply 70: Processed (raw) | Latency: 49.953 ms
Reply 71: Processed (raw) | Latency: 49.991 ms
Reply 72: Processed (raw) | Latency: 49.988 ms
Reply 73: Processed (raw) | Latency: 49.962 ms
Reply 74: Processed (raw) | Latency: 49.983 ms
Reply 75: Processed (raw) | Latency: 49.982 ms
Reply 76: Processed (raw) | Latency: 49.976 ms
Reply 77: Processed (raw) | Latency: 49.935 ms
Reply 78: Processed (raw) | Latency: 49.961 ms
Reply 79: Processed (raw) | Latency: 49.959 ms
Reply 80: Processed (raw) | Latency: 49.958 ms
Reply 81: Processed (raw) | Latency: 49.971 ms
Reply 82: Processed (raw) | Latency: 49.981 ms
Reply 83: Processed (raw) | Latency: 49.953 ms
Reply 84: Processed (raw) | Latency: 49.989 ms
Reply 85: Processed (raw) | Latency: 50.006 ms
Reply 86: Processed (raw) | Latency: 49.990 ms
Reply 87: Processed (raw) | Latency: 49.982 ms
Reply 88: Processed (raw) | Latency: 50.027 ms
Reply 89: Processed (raw) | Latency: 49.969 ms
Reply 90: Processed (raw) | Latency: 49.952 ms
Reply 91: Processed (raw) | Latency: 49.965 ms
Reply 92: Processed (raw) | Latency: 49.988 ms
Reply 93: Processed (raw) | Latency: 49.979 ms
Reply 94: Processed (raw) | Latency: 49.964 ms
Reply 95: Processed (raw) | Latency: 49.976 ms
Reply 96: Processed (raw) | Latency: 49.969 ms
Reply 97: Processed (raw) | Latency: 49.997 ms
Reply 98: Processed (raw) | Latency: 49.955 ms
Reply 99: Processed (raw) | Latency: 49.949 ms
Reply 100: Processed (raw) | Latency: 49.968 ms
Reply 101: Processed (raw) | Latency: 49.954 ms
Reply 102: Processed (raw) | Latency: 49.991 ms
Reply 103: Processed (raw) | Latency: 49.987 ms
Reply 104: Processed (raw) | Latency: 49.971 ms
Reply 105: Processed (raw) | Latency: 49.977 ms
Reply 106: Processed (raw) | Latency: 49.965 ms
Reply 107: Processed (raw) | Latency: 49.961 ms
Reply 108: Processed (raw) | Latency: 49.997 ms
Reply 109: Processed (raw) | Latency: 49.979 ms
Reply 110: Processed (raw) | Latency: 49.985 ms
Reply 111: Processed (raw) | Latency: 49.980 ms
Reply 112: Processed (raw) | Latency: 49.995 ms
Reply 113: Processed (raw) | Latency: 49.973 ms
Reply 114: Processed (raw) | Latency: 49.973 ms
Reply 115: Processed (raw) | Latency: 49.992 ms
Reply 116: Processed (raw) | Latency: 49.992 ms
Reply 117: Processed (raw) | Latency: 49.969 ms
Reply 118: Processed (raw) | Latency: 49.985 ms
Reply 119: Processed (raw) | Latency: 49.960 ms
Reply 120: Processed (raw) | Latency: 49.990 ms
Reply 121: Processed (raw) | Latency: 49.964 ms
Reply 122: Processed (raw) | Latency: 49.960 ms
Reply 123: Processed (raw) | Latency: 49.960 ms
Reply 124: Processed (raw) | Latency: 49.965 ms
Reply 125: Processed (raw) | Latency: 49.972 ms
Reply 126: Processed (raw) | Latency: 49.971 ms
Reply 127: Processed (raw) | Latency: 49.983 ms
Reply 128: Processed (raw) | Latency: 49.986 ms
Reply 129: Processed (raw) | Latency: 49.999 ms
Reply 130: Processed (raw) | Latency: 49.981 ms
Reply 131: Processed (raw) | Latency: 49.979 ms
Reply 132: Processed (raw) | Latency: 50.001 ms
Reply 133: Processed (raw) | Latency: 50.015 ms
Reply 134: Processed (raw) | Latency: 49.998 ms
Reply 135: Processed (raw) | Latency: 49.993 ms
Reply 136: Processed (raw) | Latency: 50.010 ms
Reply 137: Processed (raw) | Latency: 49.987 ms
Reply 138: Processed (raw) | Latency: 49.977 ms
Reply 139: Processed (raw) | Latency: 49.955 ms
Reply 140: Processed (raw) | Latency: 49.964 ms
Reply 141: Processed (raw) | Latency: 49.989 ms
Reply 142: Processed (raw) | Latency: 49.969 ms
Reply 143: Processed (raw) | Latency: 49.972 ms
Reply 144: Processed (raw) | Latency: 49.959 ms
Reply 145: Processed (raw) | Latency: 49.983 ms
Reply 146: Processed (raw) | Latency: 50.000 ms
Reply 147: Processed (raw) | Latency: 49.992 ms
Reply 148: Processed (raw) | Latency: 49.976 ms
Reply 149: Processed (raw) | Latency: 50.019 ms
Reply 150: Processed (raw) | Latency: 49.952 ms
Reply 151: Processed (raw) | Latency: 49.955 ms
Reply 152: Processed (raw) | Latency: 49.960 ms
Reply 153: Processed (raw) | Latency: 49.945 ms
