Reply 1: Processado (cru) | Latency: 0.059 ms
Reply 2: Processado (cru) | Latency: 0.049 ms
Reply 3: Processado (cru) | Latency: 0.050 ms
Reply 4: Processado (cru) | Latency: 0.051 ms
Reply 5: Processado (cru) | Latency: 0.036 ms
Reply 6: Processado (cru) | Latency: 0.045 ms
Reply 7: Processado (cru) | Latency: 0.050 ms
Reply 8: Processado (cru) | Latency: 0.050 ms
Reply 9: Processado (cru) | Latency: 0.055 ms
Reply 10: Processado (cru) | Latency: 0.046 ms
Reply 11: Processado (cru) | Latency: 0.050 ms
Reply 12: Processado (cru) | Latency: 0.049 ms
Reply 13: Processado (cru) | Latency: 0.048 ms
Reply 14: Processado (cru) | Latency: 0.045 ms
Reply 15: Processado (cru) | Latency: 0.054 ms
Reply 16: Processado (cru) | Latency: 0.049 ms
Reply 17: Processado (cru) | Latency: 0.048 ms
Reply 18: Processado (cru) | Latency: 0.028 ms
Reply 19: Processado (cru) | Latency: 0.028 ms
Reply 20: Processado (cru) | Latency: 0.026 ms
Reply 21: Processado (cru) | Latency: 0.026 ms
Reply 22: Processado (cru) | Latency: 0.025 ms
Reply 23: Processado (cru) | Latency: 0.027 ms
Reply 24: Processado (cru) | Latency: 0.025 ms
Reply 25: Processado (cru) | Latency: 0.024 ms
Reply 26: Processado (cru) | Latency: 0.024 ms
Reply 27: Processado (cru) | Latency: 0.023 ms
Reply 28: Processado (cru) | Latency: 0.024 ms
Reply 29: Processado (cru) | Latency: 0.025 ms
Reply 30: Processado (cru) | Latency: 0.024 ms
Reply 31: Processado (cru) | Latency: 0.024 ms
Reply 32: Processado (cru) | Latency: 0.027 ms
Reply 33: Processado (cru) | Latency: 0.025 ms
Reply 34: Processado (cru) | Latency: 0.025 ms
Reply 35: Processado (cru) | Latency: 0.024 ms
Reply 36: Processado (cru) | Latency: 0.023 ms
Reply 37: Processado (cru) | Latency: 0.024 ms
Reply 38: Processado (cru) | Latency: 0.026 ms
Reply 39: Processado (cru) | Latency: 0.026 ms
Reply 40: Processado (cru) | Latency: 0.026 ms
Reply 41: Processado (cru) | Latency: 0.025 ms
Reply 42: Processado (cru) | Latency: 0.025 ms
Reply 43: Processado (cru) | Latency: 0.026 ms
Reply 44: Processado (cru) | Latency: 0.025 ms
Reply 45: Processado (cru) | Latency: 0.027 ms
Reply 46: Processado (cru) | Latency: 0.023 ms
Reply 47: Processado (cru) | Latency: 0.027 ms
Reply 48: Processado (cru) | Latency: 0.026 ms
Reply 49: Processado (cru) | Latency: 0.026 ms
Reply 50: Processado (cru) | Latency: 0.027 ms
Reply 51: Processado (cru) | Latency: 0.025 ms
Reply 52: Processado (cru) | Latency: 0.025 ms
Reply 53: Processado (cru) | Latency: 0.026 ms
Reply 54: Processado (cru) | Latency: 0.026 ms
Reply 55: Processado (cru) | Latency: 0.027 ms
Reply 56: Processado (cru) | Latency: 0.023 ms
Reply 57: Processado (cru) | Latency: 0.025 ms
Reply 58: Processado (cru) | Latency: 0.026 ms
Reply 59: Processado (cru) | Latency: 0.026 ms
Reply 60: Processado (cru) | Latency: 0.026 ms
Reply 61: Processado (cru) | Latency: 0.025 ms
Reply 62: Processado (cru) | Latency: 0.026 ms
Reply 63: Processado (cru) | Latency: 0.026 ms
Reply 64: Processado (cru) | Latency: 0.025 ms
Reply 65: Processado (cru) | Latency: 0.026 ms
Reply 66: Processado (cru) | Latency: 0.025 ms
Reply 67: Processado (cru) | Latency: 0.025 ms
Reply 68: Processado (cru) | Latency: 0.026 ms
Reply 69: Processado (cru) | Latency: 0.026 ms
Reply 70: Processado (cru) | Latency: 0.027 ms
Reply 71: Processado (cru) | Latency: 0.025 ms
Reply 72: Processado (cru) | Latency: 0.026 ms
Reply 73: Processado (cru) | Latency: 0.026 ms
Reply 74: Processado (cru) | Latency: 0.025 ms
Reply 75: Processado (cru) | Latency: 0.027 ms
Reply 76: Processado (cru) | Latency: 0.024 ms
Reply 77: Processado (cru) | Latency: 0.025 ms
Reply 78: Processado (cru) | Latency: 0.024 ms
Reply 79: Processado (cru) | Latency: 0.027 ms
Reply 80: Processado (cru) | Latency: 0.024 ms
Reply 81: Processado (cru) | Latency: 0.024 ms
Reply 82: Processado (cru) | Latency: 0.025 ms
Reply 83: Processado (cru) | Latency: 0.024 ms
Reply 84: Processado (cru) | Latency: 0.024 ms
Reply 85: Processado (cru) | Latency: 0.024 ms
Reply 86: Processado (cru) | Latency: 0.027 ms
Reply 87: Processado (cru) | Latency: 0.025 ms
Reply 88: Processado (cru) | Latency: 0.024 ms
Reply 89: Processado (cru) | Latency: 0.024 ms
Reply 90: Processado (cru) | Latency: 0.024 ms
Reply 91: Processado (cru) | Latency: 0.024 ms
Reply 92: Processado (cru) | Latency: 0.026 ms
Reply 93: Processado (cru) | Latency: 0.025 ms
Reply 94: Processado (cru) | Latency: 0.024 ms
Reply 95: Processado (cru) | Latency: 0.025 ms
Reply 96: Processado (cru) | Latency: 0.026 ms
Reply 97: Processado (cru) | Latency: 0.025 ms
Reply 98: Processado (cru) | Latency: 0.026 ms
Reply 99: Processado (cru) | Latency: 0.025 ms
Reply 100: Processado (cru) | Latency: 0.023 ms
Reply 101: Processado (cru) | Latency: 0.025 ms
Reply 102: Processado (cru) | Latency: 0.025 ms
Reply 103: Processado (cru) | Latency: 0.025 ms
Reply 104: Processado (cru) | Latency: 0.025 ms
Reply 105: Processado (cru) | Latency: 0.025 ms
Reply 106: Processado (cru) | Latency: 0.025 ms
Reply 107: Processado (cru) | Latency: 0.026 ms
Reply 108: Processado (cru) | Latency: 0.025 ms
Reply 109: Processado (cru) | Latency: 0.026 ms
Reply 110: Processado (cru) | Latency: 0.023 ms
Reply 111: Processado (cru) | Latency: 0.027 ms
Reply 112: Processado (cru) | Latency: 0.026 ms
Reply 113: Processado (cru) | Latency: 0.025 ms
Reply 114: Processado (cru) | Latency: 0.026 ms
Reply 115: Processado (cru) | Latency: 0.025 ms
Reply 116: Processado (cru) | Latency: 0.026 ms
Reply 117: Processado (cru) | Latency: 0.027 ms
Reply 118: Processado (cru) | Latency: 0.026 ms
Reply 119: Processado (cru) | Latency: 0.026 ms
Reply 120: Processado (cru) | Latency: 0.023 ms
Reply 121: Processado (cru) | Latency: 0.024 ms
Reply 122: Processado (cru) | Latency: 0.027 ms
Reply 123: Processado (cru) | Latency: 0.026 ms
Reply 124: Processado (cru) | Latency: 0.026 ms
Reply 125: Processado (cru) | Latency: 0.025 ms
Reply 126: Processado (cru) | Latency: 0.025 ms
Reply 127: Processado (cru) | Latency: 0.026 ms
Reply 128: Processado (cru) | Latency: 0.026 ms
Reply 129: Processado (cru) | Latency: 0.026 ms
